query,clicks,demand,sources,decision,notes
микрокредит турбозайм,50,70,microcredit,,
взять микрокредит без отказов без отказа eurocredit ru,50,58,microcredit,,
как обнулить микрозаймы,50,56,microcredit,,
касширо,50,53,zaim,,
микрокредиты soberano,50,38,microcredit,,
микрокредит на карту срочно без отказа micro-zaim-online,50,32,microcredit,,
где взять займ без карты,50,27,microzaim,,
микрокредит по паспорту без справок,50,26,microcredit,,
микрокредит без поручителей,50,24,microcredit,,
взять займ без подтверждения карты и личности,50,23,microcredit,,
взять займ до 200000 тысяч,50,23,microcredit,,
микрозаймы в узбекистане для физических лиц,49,127,microzaim,,
взять займ без отказа быстро на карту,49,86,microzaim,,
микрокредит онлайн еврокредит ру,49,79,microcredit,,
займ без процентов быстро,49,78,microcredit,,
фредом кредит,49,78,microcredit,,
бюджет мкк,49,76,zaim,,
займы без фото паспорта на карту без отказа,49,76,microzaim,,
altyncoin микрокредит,49,60,microcredit,,
мфо партнерка,49,54,microcredit,,
рефинансирование микрозаймов в мфо,49,53,zaim,,
займ госуслуги без отказа,49,48,microzaim,,
как получить займ с плохой кредитной историей без отказа на карту и просрочками без отказа срочно,49,45,microcredit,,
